date,store_nbr,item_nbr,units
1/1/12,1,1,0
1/1/12,1,2,0
1/1/12,1,3,0
1/1/12,1,4,0
1/1/12,1,5,0
1/1/12,1,6,0
1/1/12,1,7,0
1/1/12,1,8,0
1/1/12,1,9,29
1/1/12,1,10,0
1/1/12,1,11,0
1/1/12,1,12,0
1/1/12,1,13,0
1/1/12,1,14,0
1/1/12,1,15,0
1/1/12,1,16,0
1/1/12,1,17,0
1/1/12,1,18,0
1/1/12,1,19,0
1/1/12,1,20,0
1/1/12,1,21,0
1/1/12,1,22,0
1/1/12,1,23,0
1/1/12,1,24,0
1/1/12,1,25,0
1/1/12,1,26,0
1/1/12,1,27,0
1/1/12,1,28,2
1/1/12,1,29,0
1/1/12,1,30,0
1/1/12,1,31,0
1/1/12,1,32,0
1/1/12,1,33,0
1/1/12,1,34,0
1/1/12,1,35,0
1/1/12,1,36,0
1/1/12,1,37,0
1/1/12,1,38,0
1/1/12,1,39,0
1/1/12,1,40,0
1/1/12,1,41,0
1/1/12,1,42,0
1/1/12,1,43,0
1/1/12,1,44,0
1/1/12,1,45,0
1/1/12,1,46,0
1/1/12,1,47,0
1/1/12,1,48,0
1/1/12,1,49,0
1/1/12,1,50,0
1/1/12,1,51,1
1/1/12,1,52,0
1/1/12,1,53,0
1/1/12,1,54,0
1/1/12,1,55,0
1/1/12,1,56,0
1/1/12,1,57,0
1/1/12,1,58,0
1/1/12,1,59,0
1/1/12,1,60,0
1/1/12,1,61,0
1/1/12,1,62,0
1/1/12,1,63,0
1/1/12,1,64,0
1/1/12,1,65,0
1/1/12,1,66,0
1/1/12,1,67,0
1/1/12,1,68,0
1/1/12,1,69,0
1/1/12,1,70,0
1/1/12,1,71,0
1/1/12,1,72,0
1/1/12,1,73,0
1/1/12,1,74,0
1/1/12,1,75,0
1/1/12,1,76,0
1/1/12,1,77,0
1/1/12,1,78,0
1/1/12,1,79,0
1/1/12,1,80,0
1/1/12,1,81,0
1/1/12,1,82,0
1/1/12,1,83,0
1/1/12,1,84,0
1/1/12,1,85,0
1/1/12,1,86,0
1/1/12,1,87,0
1/1/12,1,88,0
1/1/12,1,89,0
1/1/12,1,90,0
1/1/12,1,91,0
1/1/12,1,92,0
1/1/12,1,93,0
1/1/12,1,94,0
1/1/12,1,95,0
1/1/12,1,96,0
1/1/12,1,97,0
1/1/12,1,98,0
1/1/12,1,99,0
1/1/12,1,100,0
1/1/12,1,101,0
1/1/12,1,102,0
1/1/12,1,103,0
1/1/12,1,104,0
1/1/12,1,105,0
1/1/12,1,106,0
1/1/12,1,107,0
1/1/12,1,108,0
1/1/12,1,109,0
1/1/12,1,110,0
1/1/12,1,111,0
1/1/12,2,1,0
1/1/12,2,2,0
1/1/12,2,3,0
1/1/12,2,4,0
1/1/12,2,5,191
1/1/12,2,6,0
1/1/12,2,7,0
1/1/12,2,8,0
1/1/12,2,9,0
1/1/12,2,10,0
1/1/12,2,11,0
1/1/12,2,12,0
1/1/12,2,13,0
1/1/12,2,14,0
1/1/12,2,15,0
1/1/12,2,16,0
1/1/12,2,17,0
1/1/12,2,18,0
1/1/12,2,19,0
1/1/12,2,20,0
1/1/12,2,21,0
1/1/12,2,22,0
1/1/12,2,23,0
1/1/12,2,24,0
1/1/12,2,25,0
1/1/12,2,26,0
1/1/12,2,27,0
1/1/12,2,28,0
1/1/12,2,29,0
1/1/12,2,30,0
1/1/12,2,31,0
1/1/12,2,32,0
1/1/12,2,33,0
1/1/12,2,34,0
